-1.00E+02	-8.11E-01
-9.50E+01	-8.08E-01
-9.00E+01	-8.05E-01
-8.50E+01	-8.01E-01
-8.00E+01	-7.98E-01
-7.50E+01	-7.95E-01
-7.00E+01	-7.92E-01
-6.50E+01	-7.88E-01
-6.00E+01	-7.85E-01
-5.50E+01	-7.81E-01
-5.00E+01	-7.78E-01
-4.50E+01	-7.74E-01
-4.00E+01	-7.70E-01
-3.50E+01	-7.67E-01
-3.00E+01	-7.63E-01
-2.50E+01	-7.59E-01
-2.00E+01	-7.55E-01
-1.50E+01	-7.51E-01
-1.00E+01	-7.46E-01
-5.00E+00	-7.42E-01
0.00E+00	-7.37E-01
5.00E+00	-7.32E-01
1.00E+01	-7.27E-01
1.50E+01	-7.22E-01
2.00E+01	-7.17E-01
2.50E+01	-7.11E-01
3.00E+01	-7.03E-01
3.50E+01	2.18E-02
4.00E+01	1.45E-01
4.50E+01	1.83E-01
5.00E+01	2.10E-01
5.50E+01	2.37E-01
6.00E+01	2.68E-01
6.50E+01	3.12E-01
7.00E+01	3.93E-01
7.50E+01	6.40E-01
8.00E+01	7.39E-01
8.50E+01	7.58E-01
9.00E+01	7.56E-01
9.50E+01	7.75E-01
1.00E+02	7.81E-01
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	

	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	



